index	label	prediction	l0	l1	l2	linf
110970	1	1	2	0.10755804000000008	0.07659956996016107	0.06022604000000009
264051	1	1	2	0.11405392000000014	0.08421390506135681	0.07417096000000012
90207	1	1	1	0.012581040000000043	0.012581040000000043	0.012581040000000043
216696	0	0	4	0.5706835	0.288091751172695	0.17210950000000003
62041	0	0	1	0.09823395999999995	0.09823395999999995	0.09823395999999995
13425	0	0	1	0.08592195999999996	0.08592195999999996	0.08592195999999996
22028	0	0	2	0.22517346000000005	0.15948887358462224	0.11911196000000002
238110	1	1	1	0.01954050000000007	0.01954050000000007	0.01954050000000007
38652	0	0	1	0.08752795999999996	0.08752795999999996	0.08752795999999996
860	0	0	3	0.35239891000000007	0.20394476533138603	0.12446595999999999
66291	0	0	1	0.04148896000000002	0.04148896000000002	0.04148896000000002
108804	1	1	1	0.06343804000000008	0.06343804000000008	0.06343804000000008
111424	1	1	1	0.12553604000000007	0.12553604000000007	0.12553604000000007
94314	1	1	1	0.00936904000000005	0.00936904000000005	0.00936904000000005
366	0	0	2	0.19128546000000013	0.13542477814702752	0.10037596000000004
63682	0	0	1	0.10519396000000003	0.10519396000000003	0.10519396000000003
166122	0	0	3	0.03960449999999996	0.025635840209558173	0.0222175
150809	0	0	1	0.03667150000000008	0.03667150000000008	0.03667150000000008
203469	0	0	1	0.0736095	0.0736095	0.0736095
31706	0	0	1	0.09448696000000001	0.09448696000000001	0.09448696000000001
244867	1	1	2	0.032877460000000025	0.023424676703246102	0.018469960000000007
110115	1	1	1	0.09930504000000007	0.09930504000000007	0.09930504000000007
6366	0	0	5	0.45551096000000013	0.21397416953235646	0.12071796000000001
206005	0	0	1	0.03934749999999998	0.03934749999999998	0.03934749999999998
7626	0	0	1	0.09288096000000001	0.09288096000000001	0.09288096000000001
218656	0	0	1	0.06450850000000008	0.06450850000000008	0.06450850000000008
178303	0	0	2	0.11231994999999995	0.07942932721138014	0.05691245
64383	0	0	1	0.053265959999999946	0.053265959999999946	0.053265959999999946
21605	0	0	2	0.02083045999999994	0.015216856504928952	0.013116959999999955
197806	0	0	1	0.09502250000000001	0.09502250000000001	0.09502250000000001
50819	0	0	1	0.13303096000000003	0.13303096000000003	0.13303096000000003
219495	1	1	1	0.017934500000000075	0.017934500000000075	0.017934500000000075
134344	0	0	3	0.20241945000000006	0.1414106554683999	0.1014465
52582	0	0	2	0.11808695999999996	0.11539706789949904	0.11536495999999996
257082	1	1	1	0.06718495999999996	0.06718495999999996	0.06718495999999996
48168	0	0	2	0.06438495999999999	0.056576339025794155	0.055942959999999986
111659	1	1	4	0.3539880000000001	0.18144165063457732	0.1125555
